level,a,a_title,a_cat,a_col,a_keys,b,b_title,b_cat,b_col,b_keys,matched,match_rate,dropped_a,dropped_b,sample_matched,sample_unmatched
emd,15139557,경상북도 포항시_지역별 주민등록 인구 현황,일반공공행정 - 국가통계,gpmn,29,15139580,경상북도 포항시_지역별 생활 인구 현황,일반공공행정 - 국가통계,adstrd,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,emd,29,15139573,경상북도 포항시_생활 인구 거주지 현황,일반공공행정 - 지방행정·재정지원,emd,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,emd,29,15139580,경상북도 포항시_지역별 생활 인구 현황,일반공공행정 - 국가통계,adstrd,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15139573,경상북도 포항시_생활 인구 거주지 현황,일반공공행정 - 지방행정·재정지원,emd,29,15139580,경상북도 포항시_지역별 생활 인구 현황,일반공공행정 - 국가통계,adstrd,29,29,1.0,0,0,포항시|구룡포읍|포항시|기계면|포항시|기북면|포항시|대송면|포항시|대이동,
emd,15157788,경상북도 영천시_사업장폐기물배출자신고 현황,환경 - 폐기물,lotAddr,27,ep_YeongcheonCCTV,경상북도 영천시_CCTV 현황,일반공공행정 - 일반행정,lotAddr,40,27,1.0,0,13,영천시|고경면|영천시|금노동|영천시|금호읍|영천시|녹전동|영천시|대전동,영천시|과전동|영천시|괴연동|영천시|교촌동|영천시|도림동|영천시|매산동
emd,15124611,경상북도 상주시_경로당 현황,사회복지 - 노인·청소년,EMD,24,15124613,경상북도 상주시_가축 사육업,농림 - 농업·농촌,ADSTRD,24,24,1.0,0,0,상주시|계림동|상주시|공검면|상주시|공성면|상주시|낙동면|상주시|남원동,
emd,15157807,경상북도 영천시_동네 체육시설 현황,문화체육관광 - 체육,lotAddr,39,15157837,경상북도 영천시_새마을회관 현황,일반공공행정 - 일반행정,lotAddr,23,23,1.0,16,0,영천시|고경면|영천시|교촌동|영천시|금호읍|영천시|대전동|영천시|대창면,영천시|과전동|영천시|금노동|영천시|남부동|영천시|녹전동|영천시|도동
sgg,15000736_getHsptlBassInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15124615,경상북도 상주시_계약 정보,일반공공행정 - 일반행정,CNTRCT_TRGET_LC,23,22,1.0,0,1,경산시|경주시|고령군|구미시|김천시,군위군
sgg,15000736_getHsptlBassInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlBassInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15139573,경상북도 포항시_생활 인구 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlBassInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143263,경상북도_마을기업 조회 현황,교통및물류 - 물류등기타,area,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlBassInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143264,경상북도_시군별 주민센터 현황,일반공공행정 - 일반행정,addr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlBassInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143265,경상북도_공중화장실 정보 조회,보건 - 보건의료,roadaddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlBassInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143756,경상북도_사회적기업 현황조회,교통및물류 - 물류등기타,roadaddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlBassInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143780,경상북도_어린이보호구역 정보조회,사회복지 - 보육·가족및여성,roadaddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlBassInfoInqire,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143795,경상북도_노인복지시설 현황조회,사회복지 - 노인·청소년,fcltAddr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncFullDown,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15124615,경상북도 상주시_계약 정보,일반공공행정 - 일반행정,CNTRCT_TRGET_LC,23,22,1.0,0,1,경산시|경주시|고령군|구미시|김천시,군위군
sgg,15000736_getHsptlMdcncFullDown,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15139566,경상북도 포항시_방문 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncFullDown,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15139573,경상북도 포항시_생활 인구 거주지 현황,일반공공행정 - 지방행정·재정지원,signgu,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncFullDown,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143263,경상북도_마을기업 조회 현황,교통및물류 - 물류등기타,area,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
sgg,15000736_getHsptlMdcncFullDown,국립중앙의료원_전국 병·의원 찾기 서비스,보건 - 보건의료,dutyAddr,22,15143264,경상북도_시군별 주민센터 현황,일반공공행정 - 일반행정,addr,22,22,1.0,0,0,경산시|경주시|고령군|구미시|김천시,
